kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,tidak_baca_tulis,tidak_berbahasa_indonesia,latitude,longitude
11,Aceh,1101,Kab. Simeulue,5195,1638,2.62818,96.0898
11,Aceh,1102,Kab. Aceh Singkil,12296,5354,2.439,97.9244
11,Aceh,1103,Kab. Aceh Selatan,21776,19819,3.25638,97.213
11,Aceh,1104,Kab. Aceh Tenggara,13852,4571,3.59968,97.6619
11,Aceh,1105,Kab. Aceh Timur,24431,25837,4.56983,97.7723
11,Aceh,1106,Kab. Aceh Tengah,10249,2065,4.56693,96.8147
11,Aceh,1107,Kab. Aceh Barat,16444,13142,4.49032,96.041
11,Aceh,1108,Kab. Aceh Besar,20757,22126,5.35887,95.5144
11,Aceh,1109,Kab. Pidie,27071,53228,5.1152,95.9574
11,Aceh,1110,Kab. Bireuen,22201,38231,5.081,96.5974
11,Aceh,1111,Kab. Aceh Utara,41074,62237,4.99764,97.1454
11,Aceh,1112,Kab. Aceh Barat Daya,13574,9878,3.78325,96.9143
11,Aceh,1113,Kab. Gayo Lues,13616,10024,3.97798,97.323
11,Aceh,1114,Kab. Aceh Tamiang,15679,1224,4.20756,98.0029
11,Aceh,1115,Kab. Nagan Raya,15853,13538,4.15452,96.5184
11,Aceh,1116,Kab. Aceh Jaya,6554,6849,4.8271,95.6491
11,Aceh,1117,Kab. Bener Meriah,7084,1277,4.76923,96.9901
11,Aceh,1118,Kab. Pidie Jaya,12831,20065,5.13828,96.2004
11,Aceh,1171,Kota Banda Aceh,4554,954,5.54215,95.3431
11,Aceh,1172,Kota Sabang,1527,427,5.83886,95.2953
11,Aceh,1173,Kota Langsa,5928,449,4.48157,97.9214
11,Aceh,1174,Kota Lhokseumawe,7320,4078,5.12941,97.0654
11,Aceh,1175,Kota Subulussalam,8201,3037,2.65359,97.9101
12,Sumatera Utara,1201,Kab. Nias,36769,50994,1.12946,97.7191
12,Sumatera Utara,1202,Kab. Mandailing Natal,23669,29745,0.716284,99.4183
12,Sumatera Utara,1203,Kab. Tapanuli Selatan,16676,15565,1.52419,99.2215
12,Sumatera Utara,1204,Kab. Tapanuli Tengah,25873,17182,1.86878,98.6094
12,Sumatera Utara,1205,Kab. Tapanuli Utara,16531,15985,2.0633,98.8284
12,Sumatera Utara,1206,Kab. Toba Samosir,8915,7569,2.50027,99.0042
12,Sumatera Utara,1207,Kab. Labuhan Batu,20747,3988,2.14783,99.9218
12,Sumatera Utara,1208,Kab. Asahan,30914,2925,2.98305,99.531
12,Sumatera Utara,1209,Kab. Simalungun,34680,6452,2.95304,99.2713
12,Sumatera Utara,1210,Kab. Dairi,16736,10922,2.82712,98.2783
12,Sumatera Utara,1211,Kab. Karo,16980,9259,3.09635,98.2514
12,Sumatera Utara,1212,Kab. Deli Serdang,59378,4704,3.46231,98.888
12,Sumatera Utara,1213,Kab. Langkat,47868,3163,3.766,98.2307
12,Sumatera Utara,1214,Kab. Nias Selatan,82138,97353,0.786682,97.7166
12,Sumatera Utara,1215,Kab. Humbang Hasundutan,12097,13982,2.23062,98.5734
12,Sumatera Utara,1216,Kab. Pakpak Bharat,2803,1815,2.55478,98.2762
12,Sumatera Utara,1217,Kab. Samosir,8144,8272,2.50894,98.6264
12,Sumatera Utara,1218,Kab. Serdang Bedagai,28797,1843,3.34975,99.0295
12,Sumatera Utara,1219,Kab. Batu Bara,23691,5543,3.23175,99.5003
