province,unemployment_rate,participation_rate,population
Aceh, 	9.31 , 	62.83 ,4494410
Sumatera Utara, 	8.25 , 	69.38 ,12982204
Sumatera Barat, 	7.90 , 	66.39 ,4846909
Riau, 	8.96 , 	63.74 ,5538367
Jambi, 	5.20 , 	66.51 ,3092265
Sumatera Selatan, 	8.38 , 	70.66 ,7450394
Bengkulu, 	5.31 , 	73.63 ,1715518
Lampung, 	6.18 , 	69.23 ,7608405
Kepulauan Bangka Belitung, 	4.82 , 	65.88 ,1223296
Kepulauan Riau, 	7.81 , 	64.95 ,1679163
DKI Jakarta, 	11.99 , 	66.84 ,9607787
Jawa Barat, 	11.85 , 	63.10 ,43053732
Jawa Tengah, 	7.28 , 	68.97 ,32382657
DI Yogyakarta, 	6.00 , 	71.41 ,3457491
Jawa Timur, 	5.87 , 	69.77 ,37476757
Banten, 	14.90 , 	64.04 ,10632166
Bali, 	2.93 , 	77.03 ,3890757
Nusa Tenggara Barat, 	6.12 , 	68.73 ,4500212
Nusa Tenggara Timur, 	2.78 , 	75.40 ,4683827
Kalimantan Barat, 	5.63 , 	74.97 ,4395983
Kalimantan Tengah, 	4.53 , 	74.12 ,2212089
Kalimantan Selatan, 	6.75 , 	71.65 ,3626616
Kalimantan Timur, 	11.09 , 	66.53 ,3553143
Sulawesi Utara, 	10.63 , 	62.79 ,2270596
Sulawesi Tengah, 	5.11 , 	72.29 ,2635009
Sulawesi Selatan, 	8.74 , 	62.24 ,8034776
Sulawesi Tenggara, 	5.38 , 	71.84 ,2232586
Gorontalo, 	5.06 , 	68.12 ,1040164
Sulawesi Barat, 	4.92 , 	71.89 ,1158651
Maluku, 	10.38 , 	67.55 ,1533506
Maluku Utara, 	6.61 , 	63.05 ,1038087
Papua Barat, 	7.73 , 	70.32 ,760422
Papua, 	4.13 , 	78.86 ,2833381
